date,temperature_2m_mean
2016-02-08 00:00:00+00:00,7.3257504
2016-02-09 00:00:00+00:00,7.867418
2016-02-10 00:00:00+00:00,2.7090833
2016-02-11 00:00:00+00:00,2.1715832
2016-02-12 00:00:00+00:00,2.302833
2016-02-13 00:00:00+00:00,5.565334
2016-02-14 00:00:00+00:00,4.740333
2016-02-15 00:00:00+00:00,2.8195
2016-02-16 00:00:00+00:00,2.5070002
2016-02-17 00:00:00+00:00,1.882
2016-02-18 00:00:00+00:00,3.254917
2016-02-19 00:00:00+00:00,2.2778332
2016-02-20 00:00:00+00:00,3.411167
2016-02-21 00:00:00+00:00,9.013249
2016-02-22 00:00:00+00:00,8.598667
2016-02-23 00:00:00+00:00,5.6965847
2016-02-24 00:00:00+00:00,2.0986664
2016-02-25 00:00:00+00:00,1.7549163
2016-02-26 00:00:00+00:00,1.057
2016-02-27 00:00:00+00:00,2.1090834
2016-02-28 00:00:00+00:00,1.9819999
2016-02-29 00:00:00+00:00,1.7590834
2016-03-01 00:00:00+00:00,2.7215831
2016-03-02 00:00:00+00:00,4.559083
2016-03-03 00:00:00+00:00,2.3278334
2016-03-04 00:00:00+00:00,3.1674166
2016-03-05 00:00:00+00:00,3.4799166
2016-03-06 00:00:00+00:00,2.0049164
2016-03-07 00:00:00+00:00,1.5799166
2016-03-08 00:00:00+00:00,1.3486667
2016-03-09 00:00:00+00:00,1.31325
2016-03-10 00:00:00+00:00,3.6507494
2016-03-11 00:00:00+00:00,4.0236664
2016-03-12 00:00:00+00:00,4.321583
2016-03-13 00:00:00+00:00,4.75075
2016-03-14 00:00:00+00:00,4.88825
2016-03-15 00:00:00+00:00,2.8278332
2016-03-16 00:00:00+00:00,4.1111665
2016-03-17 00:00:00+00:00,4.877833
2016-03-18 00:00:00+00:00,6.2132506
2016-03-19 00:00:00+00:00,5.442417
2016-03-20 00:00:00+00:00,4.907
2016-03-21 00:00:00+00:00,4.9257503
2016-03-22 00:00:00+00:00,5.0590835
2016-03-23 00:00:00+00:00,4.786167
2016-03-24 00:00:00+00:00,6.4549165
2016-03-25 00:00:00+00:00,5.604917
2016-03-26 00:00:00+00:00,8.934084
2016-03-27 00:00:00+00:00,6.211167
2016-03-28 00:00:00+00:00,7.7195
2016-03-29 00:00:00+00:00,9.734084
2016-03-30 00:00:00+00:00,10.9945
2016-03-31 00:00:00+00:00,12.888251
2016-04-01 00:00:00+00:00,8.623668
2016-04-02 00:00:00+00:00,11.667417
2016-04-03 00:00:00+00:00,13.379917
2016-04-04 00:00:00+00:00,11.888249
2016-04-05 00:00:00+00:00,11.890334
2016-04-06 00:00:00+00:00,10.686166
2016-04-07 00:00:00+00:00,7.886167
2016-04-08 00:00:00+00:00,7.8820004
2016-04-09 00:00:00+00:00,7.831999
2016-04-10 00:00:00+00:00,9.40075
2016-04-11 00:00:00+00:00,10.521584
2016-04-12 00:00:00+00:00,12.121585
2016-04-13 00:00:00+00:00,10.252833
2016-04-14 00:00:00+00:00,10.382
2016-04-15 00:00:00+00:00,11.015334
2016-04-16 00:00:00+00:00,11.53825
2016-04-17 00:00:00+00:00,8.731999
